Open,High,low,Close,Volume
4.23,4.29,4.18,4.24,3951324.0
4.22,4.24,4.14,4.2,3942339.0
4.22,4.24,4.14,4.2,3942339.0
4.22,4.24,4.14,4.2,3942339.0
4.18,4.19,4.02,4.03,2941017.0
4.01,4.09,4.0,4.08,2447442.0
4.07,4.11,4.03,4.04,2173986.0
4.05,4.16,4.04,4.06,3820075.0
4.05,4.07,3.99,4.02,3231150.0
4.05,4.07,3.99,4.02,3231150.0
4.05,4.07,3.99,4.02,3231150.0
4.0,4.05,3.95,3.97,2266158.0
3.96,4.08,3.95,4.07,2572574.0
4.08,4.15,4.04,4.12,3483612.0
4.14,4.14,4.07,4.09,2478415.0
4.08,4.08,4.0,4.0,2565399.0
4.08,4.08,4.0,4.0,2565399.0
4.08,4.08,4.0,4.0,2565399.0
3.98,4.04,3.97,4.03,1703416.0
4.01,4.12,4.01,4.1,2031002.0
4.11,4.19,4.08,4.19,3393536.0
4.17,4.19,4.14,4.17,3092003.0
4.15,4.22,4.14,4.21,3183102.0
4.15,4.22,4.14,4.21,3183102.0
4.15,4.22,4.14,4.21,3183102.0
4.19,4.32,4.18,4.22,6330643.0
4.22,4.25,4.15,4.2,3183332.0
4.21,4.24,4.19,4.22,2447685.0
4.21,4.24,4.12,4.18,2584934.0
4.21,4.24,4.12,4.18,2584934.0
4.21,4.24,4.12,4.18,2584934.0
4.21,4.24,4.12,4.18,2584934.0
4.21,4.24,4.12,4.18,2584934.0
4.21,4.24,4.12,4.18,2584934.0
4.21,4.24,4.12,4.18,2584934.0
4.21,4.24,4.12,4.18,2584934.0
4.15,4.28,4.14,4.27,4375032.0
4.15,4.28,4.14,4.27,4375032.0
4.15,4.28,4.14,4.27,4375032.0
4.25,4.65,4.25,4.47,10818520.0
4.44,4.48,4.38,4.44,6102174.0
4.44,4.55,4.42,4.49,5807607.0
4.47,4.62,4.42,4.43,7037576.0
4.43,4.52,4.41,4.48,5552796.0
4.43,4.52,4.41,4.48,5552796.0
4.43,4.52,4.41,4.48,5552796.0
4.5,4.62,4.49,4.57,6312961.0
4.56,4.59,4.48,4.53,7899374.0
4.53,4.74,4.52,4.66,13199778.0
4.63,4.66,4.53,4.54,8710722.0
4.54,4.57,4.37,4.44,6382009.0
4.54,4.57,4.37,4.44,6382009.0
4.54,4.57,4.37,4.44,6382009.0
4.42,4.47,4.35,4.45,5417353.0
4.42,4.55,4.3,4.34,7964989.0
4.3,4.38,4.28,4.38,4740007.0
4.39,4.6,4.39,4.44,8762050.0
4.43,4.66,4.42,4.65,11608661.0
4.43,4.66,4.42,4.65,11608661.0
4.43,4.66,4.42,4.65,11608661.0
4.66,4.75,4.6,4.64,11127553.0
4.61,4.82,4.55,4.71,11721209.0
4.7,4.85,4.65,4.77,12788201.0
4.74,4.85,4.69,4.7,11001887.0
4.68,4.72,4.55,4.66,10062553.0
4.68,4.72,4.55,4.66,10062553.0
4.68,4.72,4.55,4.66,10062553.0
4.63,4.64,4.43,4.45,7773316.0
4.4,4.64,4.39,4.6,8614988.0
4.55,4.62,4.4,4.51,6941792.0
4.5,4.57,4.48,4.54,4201472.0
4.51,4.69,4.49,4.61,6875198.0
4.51,4.69,4.49,4.61,6875198.0
4.51,4.69,4.49,4.61,6875198.0
4.6,4.77,4.6,4.74,7727235.0
4.74,4.76,4.66,4.72,6120346.0
4.7,4.82,4.63,4.79,8795715.0
4.76,4.84,4.56,4.57,9107027.0
4.52,4.69,4.5,4.68,5323252.0
4.52,4.69,4.5,4.68,5323252.0
4.52,4.69,4.5,4.68,5323252.0
4.66,4.76,4.65,4.71,6401965.0
4.7,4.77,4.68,4.74,5774852.0
4.74,4.79,4.68,4.71,4975176.0
4.69,4.72,4.61,4.63,4225552.0
4.63,4.64,4.47,4.49,6621600.0
4.63,4.64,4.47,4.49,6621600.0
4.63,4.64,4.47,4.49,6621600.0
