HEADER|V0.3|20125|20190805
500001|1999-04-06|0.049000|0.000000|05
500001|2000-04-11|0.190000|0.000000|05
500001|2001-04-09|0.425000|0.000000|05
500001|2002-04-05|0.016000|0.000000|05
500001|2005-04-07|0.035000|0.000000|05
500001|2007-03-22|0.290000|0.000000|05
500001|2008-03-28|0.500000|0.000000|05
500001|2008-04-28|1.208000|0.000000|05
500001|2010-03-24|0.110000|0.000000|05
500001|2011-04-22|0.209000|0.000000|05
500002|2000-03-27|0.022000|0.000000|05
500002|2000-09-04|0.130000|0.000000|05
500002|2001-04-10|0.147000|0.000000|05
500002|2001-09-07|0.226000|0.000000|05
500002|2006-09-01|0.130000|0.000000|05
500002|2007-04-06|0.480000|0.000000|05
500002|2007-08-01|0.655000|0.000000|05
500002|2008-04-03|1.640000|0.000000|05
500002|2010-04-06|0.047000|0.000000|05
500002|2011-04-01|0.172000|0.000000|05
500002|2014-03-25|0.248600|0.000000|05
500003|1999-04-06|0.042000|0.000000|05
500003|2000-03-21|0.320000|0.000000|05
500003|2001-04-06|0.575000|0.000000|05
500003|2002-04-05|0.230000|0.000000|05
500003|2004-04-02|0.010000|0.000000|05
500003|2004-06-24|0.050000|0.000000|05
500003|2005-04-26|0.006000|0.000000|05
500003|2006-04-19|0.029000|0.000000|05
500003|2007-04-06|0.420000|0.000000|05
500003|2007-06-21|0.200000|0.000000|05
500003|2007-10-08|0.200000|0.000000|05
500003|2008-01-25|0.300000|0.000000|05
500003|2008-04-10|0.770000|0.000000|05
500003|2009-03-31|0.260000|0.000000|05
500003|2010-04-01|0.400000|0.000000|05
500003|2011-03-24|0.120000|0.000000|05
500005|2000-04-04|0.150000|0.000000|05
500005|2001-04-06|0.330000|0.000000|05
500005|2002-04-05|0.003000|0.000000|05
500005|2007-04-05|0.319600|0.000000|05
500005|2007-08-31|0.265000|0.000000|05
500005|2008-04-11|1.050000|0.000000|05
500005|2009-04-10|0.333000|0.000000|05
500005|2010-01-19|0.300000|0.000000|05
500005|2011-04-26|0.375000|0.000000|05
500005|2012-04-24|0.037000|0.000000|05
500005|2013-04-22|0.038000|0.000000|05
500005|2014-03-25|0.206000|0.000000|05
500006|1999-04-06|0.021000|0.000000|05
500006|2000-04-06|0.390000|0.000000|05
500006|2001-04-06|0.485000|0.000000|05
500006|2002-04-05|0.007000|0.000000|05
500006|2004-04-16|0.040000|0.000000|05
500006|2005-04-04|0.049000|0.000000|05
500006|2006-04-06|0.015000|0.000000|05
500006|2007-04-04|0.430000|0.000000|05
500006|2007-08-21|0.200000|0.000000|05
500006|2008-04-09|1.090000|0.000000|05
500006|2009-04-03|0.210000|0.000000|05
500006|2010-04-01|0.670000|0.000000|05
500006|2011-04-08|0.071000|0.000000|05
500007|2000-04-14|0.028000|0.000000|05
500007|2001-04-09|0.265000|0.000000|05
500007|2006-04-04|0.031000|0.000000|05
500007|2007-04-05|0.570000|0.000000|05
500007|2007-07-26|0.150000|0.000000|05
500007|2007-12-06|0.150000|0.000000|05
500008|1999-04-06|0.022000|0.000000|05
500008|2000-04-07|0.406000|0.000000|05
500008|2001-04-06|0.385000|0.000000|05
500008|2002-04-08|0.091000|0.000000|05
500008|2004-04-06|0.130000|0.000000|05
500008|2005-04-05|0.141000|0.000000|05
500008|2007-01-18|0.200000|0.000000|05
500008|2007-04-06|0.274000|0.000000|05
500008|2007-09-06|0.250000|0.000000|05
500008|2008-03-20|0.665000|0.000000|05
500008|2008-04-03|0.400000|0.000000|05
500008|2008-04-16|0.400000|0.000000|05
500008|2008-04-25|0.300000|0.000000|05
500008|2010-02-01|0.531000|0.000000|05
500008|2011-04-07|0.139000|0.000000|05
